new,breached,nearly breached,open,voicemails,missed calls, answered calls,outbound calls,bug,tip,total time
3,6,3,54,0,0,2,5,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",12 hours 38 minutes 23 seconds
3,6,3,54,0,0,3,5,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,12 hours 39 minutes 40 seconds
3,6,3,54,0,0,4,5,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",13 hours 18 minutes 28 seconds
3,6,3,54,0,0,3,3,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",4 hours 32 minutes 46 seconds
3,6,3,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
3,7,2,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",6 hours 8 minutes 9 seconds
3,6,3,54,0,0,2,5,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",12 hours 38 minutes 23 seconds
3,6,3,54,0,0,3,5,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,12 hours 39 minutes 40 seconds
3,6,3,54,0,0,4,5,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",13 hours 18 minutes 28 seconds
3,6,3,54,0,0,3,3,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",4 hours 32 minutes 46 seconds
3,6,3,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
3,7,2,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",6 hours 8 minutes 9 seconds
3,6,3,54,0,0,2,5,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",12 hours 38 minutes 23 seconds
3,6,3,54,0,0,3,5,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,12 hours 39 minutes 40 seconds
3,6,3,54,0,0,4,5,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",13 hours 18 minutes 28 seconds
3,6,3,54,0,0,3,3,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",4 hours 32 minutes 46 seconds
3,6,3,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
3,7,2,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",6 hours 8 minutes 9 seconds
3,6,3,54,0,0,2,5,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",12 hours 38 minutes 23 seconds
3,6,3,54,0,0,3,5,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,12 hours 39 minutes 40 seconds
3,6,3,54,0,0,4,5,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",13 hours 18 minutes 28 seconds
3,6,3,54,0,0,3,3,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",4 hours 32 minutes 46 seconds
3,6,3,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
3,7,2,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",6 hours 8 minutes 9 seconds
3,6,3,54,0,0,2,5,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",12 hours 38 minutes 23 seconds
3,6,3,54,0,0,3,5,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,12 hours 39 minutes 40 seconds
3,6,3,54,0,0,2,5,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",12 hours 38 minutes 23 seconds
3,6,3,54,0,0,3,5,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,12 hours 39 minutes 40 seconds
3,6,3,54,0,0,4,5,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",13 hours 18 minutes 28 seconds
3,6,3,54,0,0,3,3,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",4 hours 32 minutes 46 seconds
3,6,3,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
3,7,2,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",6 hours 8 minutes 9 seconds
3,6,3,54,0,0,2,5,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",12 hours 38 minutes 23 seconds
3,6,3,54,0,0,3,5,Unable to log into Playground POS,Not sure how to prioritise tickets? 1. Breached Tickets 2. New tickets 3. Nearly breached tickets 4. Open tickets,12 hours 39 minutes 40 seconds
3,6,3,54,0,0,4,5,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",13 hours 18 minutes 28 seconds
3,6,3,54,0,0,3,3,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",4 hours 32 minutes 46 seconds
3,6,3,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
3,7,2,54,0,1,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Use the ""Clear Cache"" macro to save time answering tickets",5 hours 13 minutes 59 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"If formatting is missing from a support ticket submitted via email, click on the ""View Email"" button to see the original formatting",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Want to level up your reporting skills? Check out the ""Reporting Cheatsheet"" in Confluence",5 hours 32 minutes 18 seconds
4,7,2,55,0,2,3,4,Unable to log into Playground POS,"Logging a bug but not sure on the severity? Follow the flowchart in the ""Help"" tab.",6 hours 8 minutes 9 seconds
